round_id,date,course,hole,shot,club,distance_yd,category,start_lat,start_lng,end_lat,end_lng,pin_lat,pin_lng
27924130,2026-06-06,WindRose GC,10,2,50 Wedge,55.1,short,30.0584496,-95.5095563,30.0580498,-95.5093094,30.057737365499,-95.508897378239
27924130,2026-06-06,WindRose GC,10,3,58 Wedge,58.2,approach,30.0580498,-95.5093094,30.0579055,-95.5087817,30.057737365499,-95.508897378239
27924130,2026-06-06,WindRose GC,10,4,Putter,22.1,putt,30.0579055,-95.5087817,30.057749141411,-95.508889276307,30.057737365499,-95.508897378239
27924130,2026-06-06,WindRose GC,10,5,Putter,1.7,putt,30.057749141411,-95.508889276307,30.057737365499,-95.508897378239,30.057737365499,-95.508897378239
27924130,2026-06-06,WindRose GC,11,1,7 Iron,162.4,tee,30.0578485,-95.5075647,30.0591333,-95.5071447,30.05908509001,-95.50688999502
27924130,2026-06-06,WindRose GC,11,2,54 Wedge,23.6,approach,30.0591333,-95.5071447,30.0591097,-95.5069223,30.05908509001,-95.50688999502
27924130,2026-06-06,WindRose GC,11,3,Putter,3.9,putt,30.0591097,-95.5069223,30.059088712165,-95.506894749739,30.05908509001,-95.50688999502
27924130,2026-06-06,WindRose GC,11,4,Putter,0.7,putt,30.059088712165,-95.506894749739,30.05908509001,-95.50688999502,30.05908509001,-95.50688999502
27924130,2026-06-06,WindRose GC,12,1,Driver,237.2,tee,30.058724,-95.5049729,30.0605306,-95.5041234,30.061896957281,-95.503438087103
27924130,2026-06-06,WindRose GC,12,2,5 Iron,109.6,short,30.0605306,-95.5041234,30.0614103,-95.5038969,30.061896957281,-95.503438087103
27924130,2026-06-06,WindRose GC,12,3,50 Wedge,104.6,short,30.0614103,-95.5038969,30.0620619,-95.5032481,30.061896957281,-95.503438087103
27924130,2026-06-06,WindRose GC,12,4,50 Wedge,50.2,short,30.0620619,-95.5032481,30.0617459,-95.5035556,30.061896957281,-95.503438087103
27924130,2026-06-06,WindRose GC,12,5,50 Wedge,11.8,approach,30.0617459,-95.5035556,30.061831070588,-95.503502805882,30.061896957281,-95.503438087103
27924130,2026-06-06,WindRose GC,12,6,Putter,9.8,putt,30.061831070588,-95.503502805882,30.061892780418,-95.50344218993,30.061896957281,-95.503438087103
27924130,2026-06-06,WindRose GC,12,7,Putter,0.7,putt,30.061892780418,-95.50344218993,30.061896957281,-95.503438087103,30.061896957281,-95.503438087103
27924130,2026-06-06,WindRose GC,13,1,Driver,241.7,tee,30.0619641,-95.5057339,30.061143680771,-95.507825352252,30.061200620534,-95.509263950274
27924130,2026-06-06,WindRose GC,13,2,5 Iron,131.1,short,30.061143680771,-95.507825352252,30.061383,-95.5090403,30.061200620534,-95.509263950274
27924130,2026-06-06,WindRose GC,13,3,54 Wedge,23.9,approach,30.061383,-95.5090403,30.0612595,-95.5092171,30.061200620534,-95.509263950274
27924130,2026-06-06,WindRose GC,13,4,Putter,6.4,putt,30.0612595,-95.5092171,30.061216423586,-95.509251375824,30.061200620534,-95.509263950274
27924130,2026-06-06,WindRose GC,13,5,Putter,1.7,putt,30.061216423586,-95.509251375824,30.061203662866,-95.509258680835,30.061200620534,-95.509263950274
27924130,2026-06-06,WindRose GC,13,6,Putter,0.7,putt,30.061203662866,-95.509258680835,30.061200620534,-95.509263950274,30.061200620534,-95.509263950274
27924130,2026-06-06,WindRose GC,14,1,Driver,215.1,tee,30.0625288,-95.5096626,30.063966787934,-95.508471764624,30.065480564849,-95.506726864749
27924130,2026-06-06,WindRose GC,14,2,Hybrid,64.7,short,30.063966787934,-95.508471764624,30.0644037,-95.5081204,30.065480564849,-95.506726864749
27924130,2026-06-06,WindRose GC,14,3,5 Iron,64.5,short,30.0644037,-95.5081204,30.06453,-95.5075255,30.065480564849,-95.506726864749
27924130,2026-06-06,WindRose GC,14,4,5 Iron,44.9,short,30.06453,-95.5075255,30.0648562,-95.5073253,30.065480564849,-95.506726864749
27924130,2026-06-06,WindRose GC,14,5,Pitching Wedge,112.4,short,30.0648562,-95.5073253,30.06566107785,-95.506800748408,30.065480564849,-95.506726864749
27924130,2026-06-06,WindRose GC,14,6,Putter,13.7,approach,30.06566107785,-95.506800748408,30.065638154785,-95.506673678756,30.065480564849,-95.506726864749
27924130,2026-06-06,WindRose GC,14,7,58 Wedge,20.0,putt,30.065638154785,-95.506673678756,30.065480564849,-95.506726864749,30.065480564849,-95.506726864749
27924130,2026-06-06,WindRose GC,15,1,Driver,254.1,tee,30.0659154,-95.5072768,30.064406394972,-95.508947186172,30.063745308749,-95.509548724695
27924130,2026-06-06,WindRose GC,15,2,7 Iron,62.0,short,30.064406394972,-95.508947186172,30.0639957,-95.5092968,30.063745308749,-95.509548724695
27924130,2026-06-06,WindRose GC,15,3,58 Wedge,52.8,approach,30.0639957,-95.5092968,30.0636485,-95.5095985,30.063745308749,-95.509548724695
27924130,2026-06-06,WindRose GC,15,4,Putter,12.2,putt,30.0636485,-95.5095985,30.0637403,-95.5095513,30.063745308749,-95.509548724695
